review_text,label,product_name,rating
"Was hesitant about this chair, but I was pleasantly surprised. Works with all my gadgets. Worth trying",0,chair,4
Perfect wireless earbuds!!! Life changing!!! Fast shipping!!! Great seller!!! FIVE STARS,1,wireless earbuds,5
Ordered this bluetooth speaker for travel. Seemed well made. Good value for money. Satisfied overall.,0,bluetooth speaker,4
Ordered this wireless earbuds for work. First impression was positive. Battery life is decent. Satisfied overall.,0,wireless earbuds,4
I LOVE this laptop stand!!! AMAZING!!! Perfect perfect perfect!!! A+++++,1,laptop stand,5
Got this webcam as my setup. Initial setup went smoothly. Connects quickly to my devices. Good purchase,0,webcam,4
Replaced my old USB hub with this. Similar quality. Easy to set up. Good enough for the price,0,USB hub,5
this keyboard arrived on time. looks good out of the box. easy to set up. no regrets,0,keyboard,4
Using this laptop stand for several weeks now. good for the price. Wish it was slightly bigger. Worth trying,0,laptop stand,4
got this desk lamp as replacement. initial setup went smoothly. connects quickly to my devices. worth trying,0,desk lamp,3
INCREDIBLE mouse pad!!! Everyone needs this!!! Love love love it!!! EVERYONE SHOULD BUY,1,mouse pad,5
ordered this bluetooth speaker for my home office. seemed well made. battery life is decent. satisfied overall.,0,bluetooth speaker,4
This charging cable arrived in good condition. Seemed well made. Easy to set up. Would buy again,0,charging cable,4
"Satisfied with this smart watch. The build quality is solid. However, the cord is a bit short. Would buy again",0,smart watch,5
Perfect desk lamp!!! Best purchase of my life!!! Fast shipping!!! Great seller!!! 5 STARS,1,desk lamp,5
This laptop stand arrived on time. First impression was positive. The material feels durable. Would buy again,0,laptop stand,3
Ordered this chair for gaming. Initial setup went smoothly. The build quality is solid. Satisfied overall.,0,chair,3
I LOVE this keyboard!!! ABSOLUTELY PERFECT!!! Love love love it!!! A+++++,1,keyboard,5
Got this wireless earbuds as replacement. Looks good out of the box. Easy to set up. Recommend it,0,wireless earbuds,5
I was looking for a screen protector and found this one. Setup was easy. Instructions could be clearer. Worth the price.,0,screen protector,4
I was looking for a phone case and found this one. Works exactly as described. Nothing fancy but gets the job done. Worth the price.,0,phone case,4
laptop stand is PERFECT!!! No complaints!!! Best purchase of my life!!! 10/10!!!,1,laptop stand,5
WOW!!! This screen protector is WONDERFUL!!! Cannot imagine life without it!!! BUY NOW!!!,1,screen protector,5
"Was skeptical about this keyboard, but I was pleasantly surprised. Lightweight and portable. Good purchase",0,keyboard,4
Outstanding!!! Best screen protector on Amazon!!! INCREDIBLE!!! This changed everything!!!,1,screen protector,5
This tablet stand changed my life!!! EXCELLENT!!! GET IT TODAY!!! Must have!!!,1,tablet stand,5
Bought this portable charger for my home office. Setup was easy. Nothing fancy but gets the job done. Satisfied Edit: Still working great!,0,portable charger,3
5 STARS!!! EXCELLENT tablet stand!!! Changed my life completely!!! HIGHLY RECOMMEND!!!,1,tablet stand,5
Perfect mouse pad!!! Life changing!!! Fast shipping!!! Great seller!!! 5 STARS,1,mouse pad,5
AMAZING screen protector!!! EXCELLENT!!! DONT MISS OUT!!! 10/10!!!,1,screen protector,5
